ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
48B763E48674DA1F844F00E389288721,48B763E48674DA1F0CC22B34D73EC3C7,2023-06-08 00:00:00,001,颗粒物,,20,,0,0,2023-06-09T12:35:10.26,2023-06-10T14:30:25.957,20230608
48B763E48674DA1F844F00E389288721,48B763E48674DA1F0CC22B34D73EC3C7,2023-06-08 00:00:00,002,二氧化硫,,80,,0,0,2023-06-09T12:35:10.26,2023-06-10T14:30:25.957,20230608
48B763E48674DA1F844F00E389288721,48B763E48674DA1F0CC22B34D73EC3C7,2023-06-08 00:00:00,003,氮氧化物,,250,,0,0,2023-06-09T12:35:10.26,2023-06-10T14:30:25.957,20230608
48B763E48674DA1F844F00E389288721,48B763E48674DA1F0CC22B34D73EC3C7,2023-06-08 00:00:00,004,一氧化碳,,80,,0,0,2023-06-09T12:35:10.263,2023-06-10T14:30:25.957,20230608
48B763E48674DA1F844F00E389288721,48B763E48674DA1F0CC22B34D73EC3C7,2023-06-08 00:00:00,008,氯化氢,,50,,0,0,2023-06-09T12:35:10.263,2023-06-10T14:30:25.957,20230608
48B763E48674DA1F844F00E389288721,48B763E48674DA1F62FADA495CF97E7D,2023-06-08 00:00:00,001,颗粒物,,20,,0,0,2023-06-09T12:35:10.25,2023-06-10T14:30:25.957,20230608
48B763E48674DA1F844F00E389288721,48B763E48674DA1F62FADA495CF97E7D,2023-06-08 00:00:00,002,二氧化硫,,80,,0,0,2023-06-09T12:35:10.25,2023-06-10T14:30:25.957,20230608
48B763E48674DA1F844F00E389288721,48B763E48674DA1F62FADA495CF97E7D,2023-06-08 00:00:00,003,氮氧化物,,250,,0,0,2023-06-09T12:35:10.253,2023-06-10T14:30:25.957,20230608
48B763E48674DA1F844F00E389288721,48B763E48674DA1F62FADA495CF97E7D,2023-06-08 00:00:00,004,一氧化碳,,80,,0,0,2023-06-09T12:35:10.253,2023-06-10T14:30:25.957,20230608
48B763E48674DA1F844F00E389288721,48B763E48674DA1F62FADA495CF97E7D,2023-06-08 00:00:00,008,氯化氢,,50,,0,0,2023-06-09T12:35:10.253,2023-06-10T14:30:25.957,20230608
